单词,美式音标,中文翻译,例句,例句翻译
signal,'sɪgnl,n. 信号；暗号；导火线；v. 标志；用信号通知；表示；adj. 显著的；作为信号的,At a prearranged signal the lights went out.,预定的信号一发出，灯就全灭了。
script,skrɪpt,n. 脚本；手迹；书写用的字母；v. 把…改编为剧本,a diary entry written in neat black script,用工整的黑色字写下的一则日记
genuine,'dʒɛnjʊɪn,adj. 真实的，真正的；诚恳的,‘Did he really?’ Her surprise seemed genuine.,“他真的这样？”她好像是真的惊讶。
sweat,swɛt,v. 使出汗；流出；使干苦活；剥削；藉出汗减轻；焦急地期待；n. 汗；水珠；焦急；苦差使,I was sweating a lot despite the air conditioning.,尽管开着空调，我仍是满头大汗。
modify,'mɑdɪfaɪ,v. 修改，修饰；更改,The feedback will be used to modify the course for next year.,这些反馈意见将用于修改明年的课程。
exact,ɪɡ'zækt,adj. 准确的，精密的；精确的；v. 要求；强求；急需,Police are still investigating the exact cause of the accident.,警方还在调查这起事故的确切原因。
adjoin,ə'dʒɔɪn,v. 毗连，邻接,A vacant plot of land adjoins his house.,有一块空地紧挨着他家。
terrify,ˈtɛrəˌfaɪ,v. 恐吓；使恐怖；使害怕,Her husband’s violence terrified her.,丈夫的暴力行为让她感到害怕。
boycott,'bɔɪkɑt,v. 联合抵制；拒绝参加；n. 联合抵制,We boycott all products tested on animals.,我们抵制所有拿动物做试验的产品。
alarm,ə'lɑrm,n. 闹钟；警报，警告器；惊慌；v. 警告；使惊恐,I forgot to set the burglar alarm.,我忘记打开防盗警报器了。
bold,bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的；n. (Bold)人名；(英、德、罗、捷、瑞典)博尔德,"In a surprisingly bold move , he is threatening court action against the company.",他出人意料地做出一个大胆举动，威胁要起诉这家公司。
rent,rɛnt,n. 租金；v. 出租；租用；租借,I pay the rent at the beginning of every month.,我每逢月初交付房租。
blame,blem,v. 责备；归咎于；n. 责备；责任；过失,Don’t blame me – it’s not my fault.,别来怪我——又不是我的错。
anniversary,",ænɪ'vɝsəri",n. 周年纪念日,Jack and Kim celebrated their twentieth wedding anniversary in January.,1月，杰克和金庆祝了他们的结婚20周年纪念日。
advocate,ˈædvəkeɪt；-et,v. 提倡，主张，拥护；n. 提倡者；支持者；律师,Extremists were openly advocating violence.,极端主义者公开鼓吹使用暴力。
exceed,ɪk'sid,v. 超过；胜过,Working hours must not exceed 42 hours a week.,工作时间每周不得超过42小时。
endure,ɪn'dʊr,v. 忍耐；容忍,It seemed impossible that anyone could endure such pain.,似乎谁都不可能忍受这样的疼痛。
pesticide,'pɛstɪsaɪd,n. 杀虫剂,This pesticide is diluted with water and applied directly to the fields.,这种杀虫剂用水稀释后直接施用在田里。
approve,ə'prʊv,v. 批准；赞成；为…提供证据,The conference approved a proposal for a referendum.,会议通过了举行全民公决的提议。
virtually,ˈvɜrtʃuəli,adv. 事实上，几乎；实质上,Virtually all the children come to school by bus.,几乎所有的孩子都乘公交车上学。
calculate,'kælkjulet,v. 计算；以为；作打算,These instruments calculate distances precisely.,这些仪器计算距离非常精确。
torture,'tɔrtʃɚ,v. 折磨；拷问；歪曲；n. 折磨；拷问；歪曲,Political opponents of the regime may be tortured.,这个政权的政治异己可能会遭受酷刑。
resume,,n. 摘要；[管理] 履历，简历；v. 重新开始，继续；恢复，重新占用,a brief résumé of the day’s events,当天活动的概述
comprise,kəm'praɪz,v. 包含；由…组成,"The house comprises two bedrooms, a kitchen, and a living room.",这座房子有两间卧室、一间厨房和一间起居室。
victim,'vɪktɪm,n. 受害人；牺牲品；牺牲者,The victim received head injuries from which she died a week later.,受害人头部受伤，一周后死亡。
remarkable,rɪ'mɑrkəbl,adj. 卓越的；非凡的；值得注意的,She has made remarkable progress.,她取得了显著的进步。
assure,ə'ʃʊr,v. 保证；担保；使确信；弄清楚,"The document is genuine, I can assure you .",我能向你保证，这文件是真的。
represent,",rɛprɪ'zɛnt",v. 代表；表现；描绘；回忆；再赠送,Mr Kobayashi was chosen to represent the company at the conference.,小林先生被选中代表公司出席会议。
profound,prə'faʊnd,adj. 深厚的；意义深远的；渊博的,a profound sense of guilt,强烈的内疚感
consequently,'kɑnsəkwɛntli,adv. 因此；结果；所以,"Most computer users have never received any formal keyboard training. Consequently, their keyboard skills are inefficient.",大多数的电脑使用者都没有经过正规的键盘操作训练，因此他们的键盘技巧不够熟练。
intense,ɪn'tɛns,adj. 强烈的；紧张的；非常的；热情的,Young people today are under intense pressure to succeed.,如今的年轻人面临要出人头地的巨大压力。
discern,dɪ'sɝn,v. 识别；领悟，认识,You need a long series of data to be able to discern such a trend.,你需要一大串数据才能认清这一趋势。
background,'bækɡraʊnd,n. 背景；隐蔽的位置；v. 作…的背景；adj. 背景的；发布背景材料的,Students with a background in chemistry will probably find the course easier.,学过化学的学生可能会觉得这门课程容易些。
mere,mɪr,adj. 仅仅的；只不过的；n. 小湖；池塘,She lost the election by a mere 20 votes.,她仅仅以20票之差落选。
calm,kɑm,adj. 静的，平静的；沉着的；v. 使平静；使镇定；n. 风平浪静,Glen was calm and composed at the funeral.,格伦在葬礼上表现得平静而镇定。
cultivate,'kʌltɪvet,v. 培养；陶冶；耕作,The land was too rocky to cultivate.,这块地石头太多，无法耕作。
inject,ɪn'dʒɛkt,v. 注入；注射,His son was injected with strong drugs.,他的儿子被注射了强效的药。
relevant,'rɛləvənt,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的,Relevant documents were presented in court.,法庭上出示了相关的文件。
forge,fɔrdʒ,n. 熔炉，锻铁炉；铁工厂；v. 伪造；做锻工；前进,Someone stole my credit card and forged my signature.,有人偷了我的信用卡，并假冒我的签名。
accessible,ək'sɛsəbl,adj. 易接近的；可进入的；可理解的,The island is only accessible by boat.,这个岛只有坐船才能到。
consult,kən'sʌlt,v. 查阅；商量；向…请教,"If symptoms persist, consult a doctor without delay.",如果症状持续的话，马上咨询医生。
digital,'dɪdʒɪtl,adj. 数字的；手指的；n. 数字；键,digital TV,数字电视
insight,'ɪn'saɪt,n. 洞察力；洞悉,a woman of great insight,一位极有眼光的妇女
ethnic,'ɛθnɪk,adj. 种族的；人种的,The school teaches pupils from different ethnic groups.,该校教授不同种族的小学生。
sum,sʌm,n. 金额；总数；v. 概括,He owes me a large sum of money .,他欠我一大笔钱。
slipper,'slɪpɚ,n. 拖鞋；vt. 用拖鞋打,...a pair of old slippers.,…一双旧拖鞋。
freshman,'frɛʃmən,n. 新手，生手；大学一年级学生,,
radiate,'redɪet,v. 辐射；传播；流露；发射；广播；adj. 辐射状的，有射线的,He radiated calm confidence.,他身上散发着沉稳自信的气质。
clap,klæp,v. 鼓掌，拍手；啪地关上；n. 鼓掌；拍手声,"One man began to clap, and others joined in.",一个人鼓起了掌，其他人也跟着鼓掌。
trivial,'trɪvɪəl,adj. 不重要的，琐碎的；琐细的,a trivial sum,一笔极小的金额
means,minz,n. 手段；方法；财产；v. 意思是；打算（mean的第三人称单数） [ 复数means ],The only means of communication was sign language.,唯一的交流方法是手语。
odds,ɑdz,n. 几率；胜算；不平等；差别,We are offering odds of 6-1 on the fight ending in a knockout.,我们以6比1的赔率赌该拳击赛以击倒告终。
delay,dɪ'le,v. 延期；耽搁；n. 延期；耽搁；被耽搁或推迟的时间,Don’t delay – send off for the information now.,别犹豫——即刻去函索取信息。
outlook,'aʊtlʊk,n. 展望；观点；景色；vt. 比……好看；用目光压倒；vi. 朝外看,Exercise will improve your looks and your outlook.,运动将会改善你的外在形象和人生态度。
appoint,ə'pɔɪnt,v. 任命；指定；约定,officials appointed by the government,政府任命的官员
coward,'kaʊɚd,n. 懦夫，懦弱的人；adj. 胆小的，懦怯的,Try it. Don’t be such a coward.,试一下，别那么胆小。
brand,brænd,v. 铭刻于，铭记；打烙印于；印…商标于；n. 商标，牌子；烙印,The owner couldn't be bothered to brand the cattle.,主人懒得给这牛打上烙印。
abstract,'æbstrækt,n. 摘要；抽象；抽象的概念；adj. 抽象的；深奥的；v. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉,Talking about crime in the abstract just isn’t enough.,抽象地谈论犯罪根本不足以说明问题。
exterior,ɪk'stɪrɪɚ,adj. 外部的；表面的；外在的；n. 外部；表面；外型；外貌,The exterior walls need a new coat of paint.,外墙需要刷新漆了。
boundary,'baʊndri,n. 边界；范围；分界线,National boundaries are becoming increasingly meaningless in the global economy.,在全球经济中，国界已经变得越来越没有意义。
reflect,rɪ'flɛkt,v. 反映；反射，照出；表达；显示;反省,The drop in consumer spending reflects concern about the economy.,消费支出的下降反映出人们对经济的担忧。
luxury,'lʌɡʒəri,n. 奢侈，奢华；奢侈品；享受；adj. 奢侈的,He was leading a life of luxury in Australia.,他在澳大利亚过着豪华舒适的生活。
enormous,ɪ'nɔrməs,adj. 庞大的，巨大的；凶暴的，极恶的,an enormous bunch of flowers,巨大的花束
acute,ə'kjut,adj. 严重的，[医] 急性的；敏锐的；激烈的；尖声的,The housing shortage is more acute than first thought.,住房短缺情况比一开始想的要严重。
simultaneous,",saɪml'tenɪəs",adj. 同时的；联立的；同时发生的；n. 同时译员,They grabbed each other’s hands in simultaneous panic.,他们俩同时惊慌起来，相互抓住对方的手。
dignity,'dɪɡnəti,n. 尊严；高贵,an appearance of quiet dignity,肃穆的神态
typical,'tɪpɪkl,adj. 典型的；特有的；象征性的,typical British weather,典型的英国天气
activate,'æktə'vet,v. 刺激；使活动；使活泼；使产生放射性,Cooking fumes may activate the alarm.,烹调时的油烟可能会触发警报器。
render,'rɛndɚ,v. 致使；提出；实施；着色；以…回报；n. 打底；交纳；粉刷,,
equip,ɪ'kwɪp,v. 装备，配备,They try to equip their vehicles with gadgets to deal with every possible contingency.,他们尽量给他们的车辆配备各种小装置以应付任何可能的突发状况。
indicate,'ɪndɪket,v. 表明；指出；预示；象征,The study indicates a connection between poverty and crime.,研究显示贫穷和犯罪有关联。
promote,prə'mot,v. 促进；提升；推销；发扬,You don't have to sacrifice environmental protection to promote economic growth.,你们没有必要牺牲环保来促进经济增长。
breed,brid,v. 繁殖；饲养；产生；n. [生物] 品种；种类，类型,Eagles breed during the cooler months of the year.,鹰在一年中较凉爽的季节交配繁殖。
poverty,'pɑvɚti,n. 贫困；困难；缺少；低劣,Millions of elderly people live in poverty .,数百万老年人生活在贫困之中。
costly,'kɔstli,adj. 昂贵的；代价高的；n. (Costly)人名；(英)科斯特利,Such a database would be extremely costly to set up.,建立这样一个数据库要花很多钱。
bored,bɔrd,adj. 无聊的；无趣的；烦人的；v. 使厌烦（bore的过去式）；烦扰,He was easily bored.,他很容易感到厌烦。
flatter,'flætɚ,v. 奉承；谄媚；使高兴,Perry would always flatter Mrs. Mitchell by praising her cooking.,佩里常常奉承米切尔太太，称赞她的烹调手艺。
punishment,'pʌnɪʃmənt,n. 惩罚；严厉对待，虐待,...a group that campaigns against the physical punishment of children.,…一个发起运动反对体罚儿童的组织。
purchase,'pɝtʃəs,n. 购买；紧握；起重装置；v. 购买；赢得,She paid for her purchases and left.,她付钱买好东西离开了。
habitat,'hæbə'tæt,n. [生态] 栖息地，产地,watching monkeys in their natural habitat,观察自然生活环境中的猴子
profile,'profaɪl,n. 侧面；轮廓；外形；剖面；简况；v. 描…的轮廓；扼要描述,Dani has a lovely profile.,达尼的侧面轮廓很好看。
